Package,Version,Binary,Loads_26.04,Resolute_Version,Debian,Unstable_Version,Loads_Unstable
lidR,4.3.2,r-cran-lidr,FALSE,4.3.2-1.ca2604.1,FALSE,"",
treesitter,0.3.2,r-cran-treesitter,FALSE,0.3.2-1.ca2604.1,FALSE,"",
rlang,1.2.0,r-cran-rlang,FALSE,1.2.0-1.ca2604.1,TRUE,1.2.0-2,TRUE
vctrs,0.7.3,r-cran-vctrs,FALSE,0.7.3-1.ca2604.1,TRUE,0.7.3-1,TRUE
lobstr,1.2.1,r-cran-lobstr,FALSE,1.2.1-1.ca2604.1,TRUE,1.2.0-1,FALSE
lazyeval,0.2.3,r-cran-lazyeval,FALSE,0.2.3-1.ca2604.1,TRUE,0.2.2-2,TRUE
nanoarrow,0.8.0,r-cran-nanoarrow,TRUE,0.8.0-1.ca2604.1,TRUE,0.8.0-1,TRUE
tidyCpp,0.0.11,r-cran-tidycpp,TRUE,0.0.11-1.ca2604.1,FALSE,"",
qs2,0.2.0,r-cran-qs2,TRUE,0.2.0-1.ca2604.1,FALSE,"",
igraph,2.3.0,r-cran-igraph,FALSE,2.3.0-1.ca2604.1,TRUE,2.2.3-1,TRUE
QuickJSR,1.9.2,r-cran-quickjsr,TRUE,1.9.2-1.ca2604.1,TRUE,1.9.0-1,TRUE
Rcpp,1.1.1-1.1,r-cran-rcpp,TRUE,1.1.1-1.1-1.ca2604.1,TRUE,1.1.1-1.1-1,TRUE
rlas,1.8.6,r-cran-rlas,TRUE,1.8.6-1.ca2604.1,FALSE,"",
leidenAlg,1.1.7,r-cran-leidenalg,FALSE,1.1.7-1.ca2604.1,FALSE,"",
collections,0.3.12,r-cran-collections,TRUE,0.3.12-1.ca2604.1,FALSE,"",
cpp11,0.5.4,r-cran-cpp11,TRUE,0.5.4-1.ca2604.1,TRUE,0.5.4-2,TRUE
archive,1.1.13,r-cran-archive,FALSE,1.1.13-1.ca2604.1,FALSE,"",
spaMM,4.6.65,r-cran-spamm,TRUE,4.6.65-1.ca2604.1,FALSE,"",
rJava,1.0-18,r-cran-rjava,TRUE,1.0-18-1.ca2604.1,TRUE,1.0-18-1,TRUE
iotools,0.4-0,r-cran-iotools,TRUE,0.4-0-1.ca2604.1,FALSE,"",
RApiDatetime,0.0.11,r-cran-rapidatetime,TRUE,0.0.11-1.ca2604.1,FALSE,"",
RProtoBuf,0.4.26,r-cran-rprotobuf,TRUE,0.4.27-1.ca2604.1,TRUE,0.4.25-1,TRUE
sparsevctrs,0.3.6,r-cran-sparsevctrs,FALSE,0.3.6-1.ca2604.1,TRUE,0.3.6-1,TRUE
data.table,1.18.2.1,r-cran-data.table,TRUE,1.18.2.1-1.ca2604.1,TRUE,1.18.2.1+dfsg-3,TRUE
vroom,1.7.1,r-cran-vroom,FALSE,1.7.1-1.ca2604.1,TRUE,1.7.1-1,TRUE
arrow,23.0.1.2,r-cran-arrow,FALSE,23.0.1.2-1.ca2604.1,TRUE,23.0.1-11,TRUE
checkmate,2.3.4,r-cran-checkmate,TRUE,2.3.4-1.ca2604.1,TRUE,2.3.4-1,TRUE
box,1.2.2,r-cran-box,FALSE,1.2.2-1.ca2604.1,FALSE,"",
vetr,0.2.21,r-cran-vetr,TRUE,0.2.21-1.ca2604.1,FALSE,"",
renv,1.2.2,r-cran-renv,TRUE,1.2.2-1.ca2604.2,TRUE,1.2.2-1,TRUE
tkrplot,0.0-32,r-cran-tkrplot,TRUE,0.0.30-1build1,TRUE,0.0.32-1,TRUE
